	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16722.2877013473	7.89976330490583	0.407987295164531	19.3627679060939	1.59102605969724e-83	9.2868191104528e-80
gene-YDR536W	gene-YDR536W	10083.7727512488	7.87393100713443	0.411273608991528	19.1452377079139	1.06053540590836e-81	3.09517258214354e-78
gene-YHR094C	gene-YHR094C	8491.68394270692	7.88132623077546	0.431800444656877	18.2522420444431	1.98589218621147e-74	3.86388423030546e-71
gene-YNL065W	gene-YNL065W	2108.72978763742	7.78513100020474	0.466742727906598	16.6797049739202	1.84125989234635e-62	2.68685849790642e-59
gene-YKL120W	gene-YKL120W	1726.50475758766	7.26915816053054	0.482282772295848	15.0723985555748	2.46016812348589e-51	2.87200026735743e-48
gene-YJL122W	gene-YJL122W	1291.14750462885	6.49505895553127	0.432384171007969	15.0215003023586	5.30922845221888e-51	5.16400488133116e-48
gene-YLR264W	gene-YLR264W	1387.97957942017	6.48380908431921	0.431928770094038	15.011292447381	6.19291316931953e-51	5.16400488133116e-48
gene-YGR159C	gene-YGR159C	8018.15131248875	6.76739331523335	0.451462492351995	14.9899347783624	8.54370834310694e-51	6.2337031998394e-48
gene-YNL112W	gene-YNL112W	5326.83338186053	7.36397911581779	0.493173462406492	14.9318235411218	2.04593625655814e-50	1.32690332550332e-47
gene-YOR271C	gene-YOR271C	1051.90868925687	6.84422036698184	0.472540716238669	14.4838743663414	1.53212007417811e-47	8.94298487297763e-45
gene-YJL108C	gene-YJL108C	954.754489577026	5.99578760448783	0.427797068652373	14.0154948311719	1.25321721875255e-44	6.65002627805331e-42
gene-YJL107C	gene-YJL107C	845.167199443989	6.17188989617324	0.442887445235938	13.9355720343017	3.85102522581917e-44	1.87320285359221e-41
gene-YOR360C	gene-YOR360C	1922.34123812615	5.65863163283519	0.406729816759091	13.9125075164746	5.31817638285292e-44	2.38786119590096e-41
gene-YOL124C	gene-YOL124C	593.848915354102	7.8041987850776	0.562725483979365	13.8685718121196	9.82128660972129e-44	4.09477499578166e-41
gene-YOL136C	gene-YOL136C	1161.50384384288	5.70905039815857	0.416236562828827	13.7158791610202	8.15716017546911e-43	3.17422292961421e-40
gene-YER127W	gene-YER127W	730.574484969922	5.98052612753614	0.441075819178505	13.5589526051887	7.01303343159775e-42	2.55844225876475e-39
gene-YLR180W	gene-YLR180W	1930.68183773854	6.78087763068801	0.503742824181998	13.4609910159993	2.65333483571249e-41	9.11030319767872e-39
gene-YNL141W	gene-YNL141W	2899.57078063068	6.47306491445565	0.481941432450678	13.4312272790908	3.96780662750507e-41	1.22036231172561e-38
gene-YCR072C	gene-YCR072C	700.732219979521	5.89470241697662	0.438883199114124	13.4311416542601	3.97239745122264e-41	1.22036231172561e-38
gene-YML043C	gene-YML043C	521.960783675712	6.4137056680112	0.481843860601358	13.3107551894646	2.00445368909391e-40	5.84999809162057e-38
gene-YMR300C	gene-YMR300C	1596.01774773466	5.8147385904084	0.439423496476158	13.2326528668544	5.6844953250106e-40	1.58001901009938e-37
gene-YEL026W	gene-YEL026W	2037.52251648377	5.36767136870474	0.4094119902092	13.1106843401484	2.86005956792365e-39	7.58825804453198e-37
gene-YOR359W	gene-YOR359W	477.733284010063	6.35677824603767	0.486140711263918	13.0760047425583	4.5155770307636e-39	1.14597491863335e-36
gene-YHR066W	gene-YHR066W	1305.13183080803	5.58292600972577	0.427805032592059	13.0501644076017	6.34104162765981e-39	1.54219416586043e-36
gene-YGR079W	gene-YGR079W	1513.66185651183	5.32802397901008	0.409029887843797	13.0260016134683	8.70512231334617e-39	2.03247195772006e-36
gene-YIR012W	gene-YIR012W	1538.6790838314	5.33179049564933	0.414327380223496	12.8685448998646	6.76648804030008e-38	1.51907656504737e-35
gene-YOL041C	gene-YOL041C	1900.55851454077	5.68956275148199	0.443474483130998	12.8295154916531	1.12062768394253e-37	2.41688260821934e-35
gene-YJL148W	gene-YJL148W	1277.35804798174	5.22623740617508	0.407444116345836	12.8268815194746	1.15937490200688e-37	2.41688260821934e-35
gene-YLR327C	gene-YLR327C	14473.686900582	-5.02535408838509	0.392362224300625	-12.8079457632361	1.48000917634204e-37	2.97890122838223e-35
gene-YOL151W	gene-YOL151W	10479.9438308717	5.98019607686114	0.469794467650809	12.7293880380603	4.06008885094277e-37	7.89957954098433e-35
gene-YBL028C	gene-YBL028C	857.684676373618	5.39143359245161	0.42388722877363	12.7190281435226	4.63590178127877e-37	8.72895441849166e-35
gene-YDL063C	gene-YDL063C	1078.48686663737	5.55185347291261	0.43682126294803	12.7096685620204	5.22554460997113e-37	9.53171996512547e-35
gene-YOL080C	gene-YOL080C	382.848121159801	6.25179289556398	0.492059550078568	12.70535831398	5.52159446700606e-37	9.76652936482253e-35
gene-YML018C	gene-YML018C	801.99781800644	5.83726717661473	0.461035850724314	12.6612001375686	9.70049352201677e-37	1.66534649082388e-34
gene-YHR196W	gene-YHR196W	1195.42768998335	5.15799259859887	0.407854600565819	12.6466456218544	1.16754079216285e-36	1.94712445824416e-34
gene-YNR060W	gene-YNR060W	1989.62402346784	6.4315051257893	0.510924410491315	12.5879777785615	2.45892251281478e-36	3.98686964091663e-34
gene-YPL212C	gene-YPL212C	1384.74839476021	5.2272466833313	0.418401526943085	12.4933738208904	8.11384283767358e-36	1.28001353090542e-33
gene-YBL039C	gene-YBL039C	2043.4963573197	6.18471965966753	0.496158479231914	12.4652100458746	1.15566879503539e-35	1.77516809384778e-33
gene-YJR063W	gene-YJR063W	779.447044965878	5.28289289421846	0.425183566646655	12.4249696099115	1.91299109329961e-35	2.86311000297175e-33
gene-YLR264C-A	gene-YLR264C-A	400.062850548046	6.38248799312646	0.51376646785013	12.4229360857943	1.96225449510653e-35	2.86341987198421e-33
gene-YDR037W	gene-YDR037W	4851.82457713183	5.21338990575834	0.423401283780902	12.3131178517071	7.69904067344867e-35	1.09608049782731e-32
gene-YNL182C	gene-YNL182C	617.414476693817	5.51232938254533	0.452916553647352	12.1707394842479	4.45032306762968e-34	6.18488946327486e-32
gene-YDR449C	gene-YDR449C	839.345971355691	5.17923958636615	0.426846692576774	12.1337231292582	6.99932793582113e-34	9.5011807352065e-32
gene-YMR093W	gene-YMR093W	863.935996718974	5.18719856271428	0.429473120020627	12.0780517357295	1.37949661132024e-33	1.83002766369915e-31
gene-YLR224W	gene-YLR224W	721.221774727973	5.09691933008537	0.422068119782862	12.0760585582904	1.41333650018495e-33	1.83325447812879e-31
gene-YJL069C	gene-YJL069C	727.591919353117	5.18224240036555	0.430504540091302	12.037602203374	2.25412555402396e-33	2.86028931713866e-31
gene-YKR097W	gene-YKR097W	21624.1655230144	-4.70783087922245	0.392431152761307	-11.9965778611005	3.7029264759412e-33	4.59871954044016e-31
gene-YBR105C	gene-YBR105C	2414.0088382152	4.9192747278075	0.414860922400002	11.8576478578631	1.96415526949012e-32	2.38849464750288e-30
gene-YNL248C	gene-YNL248C	1314.59314267739	5.28798239865748	0.448277356218883	11.79622910972	4.08196881297371e-32	4.86254121659746e-30
gene-YER049W	gene-YER049W	1369.56502506654	5.21552198986088	0.44291789232706	11.7753698376439	5.22872716088216e-32	6.10401608761383e-30
gene-YKL078W	gene-YKL078W	494.789538823364	6.07733606021823	0.516928782773219	11.7566215361709	6.52950744614119e-32	7.47308528688748e-30
gene-YGR128C	gene-YGR128C	840.663445658178	4.90980419127432	0.421940170214557	11.6362568389203	2.69589529348637e-31	3.02614246693845e-29
gene-YJL025W	gene-YJL025W	239.275871924043	6.30514694232616	0.544365593164936	11.5825596281133	5.05148521265308e-31	5.56330550684076e-29
gene-YPL068C	gene-YPL068C	278.429683235166	6.29076985265849	0.544254443071626	11.5585089524581	6.68596217761452e-31	7.22702985754369e-29
gene-YNL075W	gene-YNL075W	802.326290086849	4.95524219487541	0.428929690150425	11.5525744863631	7.16417020901995e-31	7.60313845637263e-29
gene-YLR413W	gene-YLR413W	655.493163322555	5.39375248757633	0.469309867509519	11.4929449836614	1.43147210284084e-30	1.49205404719321e-28
gene-YKR092C	gene-YKR092C	2179.50006630012	5.4634788325983	0.475477231192215	11.4905162102066	1.4722950344439e-30	1.50768177474544e-28
gene-YKL029C	gene-YKL029C	5047.29422790096	5.54789649161587	0.485365081328088	11.4303576937083	2.94891560792497e-30	2.96772765576863e-28
gene-YIL053W	gene-YIL053W	34454.4428934747	5.21702662766117	0.456543776498313	11.4272209943934	3.05737466110712e-30	3.02472811811563e-28
gene-YGL035C	gene-YGL035C	649.609004844826	5.33110083721043	0.466887016737127	11.41839598468	3.3842223823298e-30	3.29228434094317e-28
gene-YOR226C	gene-YOR226C	580.209743809789	6.33506400763083	0.55669498620646	11.3797755765692	5.2735263862391e-30	5.04615959286518e-28
gene-YGL120C	gene-YGL120C	1322.6586680345	5.13886319317094	0.452302338657235	11.3615667087348	6.49689165014256e-30	6.11650912288422e-28
gene-YHR085W	gene-YHR085W	377.78745022065	5.59648765762462	0.493309736704403	11.3447743703832	7.87290499107091e-30	7.29430895760014e-28
gene-YOR004W	gene-YOR004W	599.71295082927	4.87205789561615	0.430552193503653	11.3158357317132	1.09553343078028e-29	9.99160724291326e-28
gene-YLR435W	gene-YLR435W	394.169480230187	5.34505626892757	0.476184942362246	11.2247486079924	3.08261871970261e-29	2.76819161029294e-27
gene-YPL081W	gene-YPL081W	1678.24388821985	4.75691738561806	0.423924709934328	11.2211373249627	3.21113851570245e-29	2.8399114418417e-27
gene-YER073W	gene-YER073W	875.099704752414	6.17743910525686	0.551330554004655	11.2046014144986	3.87092193666231e-29	3.37232408123849e-27
gene-YNL110C	gene-YNL110C	1230.81070671704	4.64874449317181	0.41510324655776	11.1990077931731	4.12325561474458e-29	3.53932985636237e-27
gene-YGR208W	gene-YGR208W	416.017445094101	6.12347901564462	0.547149579836391	11.1915995941652	4.48272737132274e-29	3.79212748788563e-27
gene-YMR081C	gene-YMR081C	2810.9964644268	-4.79376884179102	0.428545581661257	-11.1861352605899	4.76764378845297e-29	3.97553382759999e-27
gene-YNL299W	gene-YNL299W	234.823856350507	5.85021957192263	0.524639273478692	11.1509371632283	7.0856128482511e-29	5.82517214017489e-27
gene-YPR137W	gene-YPR137W	906.979738801173	4.62050384329458	0.415764839907581	11.1132625941185	1.08134985373417e-28	8.76644318923105e-27
gene-YFL034C-A	gene-YFL034C-A	1134.31531230154	5.384328350263	0.485146962643703	11.0983449652498	1.27788282482819e-28	1.02178110253728e-26
gene-YNR053C	gene-YNR053C	1314.4974552537	4.53896227420702	0.409135099507503	11.0940427249356	1.34087826851383e-28	1.05766303423178e-26
gene-YIL079C	gene-YIL079C	350.822258484141	5.1844811465936	0.468269195017342	11.0715827600011	1.72329686461332e-28	1.34118450649973e-26
gene-YKR081C	gene-YKR081C	1337.79844074432	4.54042825244771	0.410595183184614	11.0581624880052	2.00155956801544e-28	1.53725042085607e-26
gene-YNL113W	gene-YNL113W	1030.17262094522	4.60123562284686	0.416372903970902	11.0507566149607	2.17375043736561e-28	1.64781575362377e-26
gene-YHR052W	gene-YHR052W	1667.15875314445	4.50694933592048	0.407987631912749	11.0467793221838	2.27220898488742e-28	1.70036972369075e-26
gene-YDR342C	gene-YDR342C	2153.89117676138	-4.50701746888737	0.409392380879851	-11.0090409088734	3.45663751498514e-28	2.55397381961623e-26
gene-YHR208W	gene-YHR208W	5095.16336450211	4.8225514294518	0.439977213844068	10.9609117874931	5.89028948791116e-28	4.29770246761718e-26
gene-YHR022C	gene-YHR022C	392.359780153272	6.18917166882493	0.565325477690086	10.9479793730752	6.79464115184982e-28	4.89633585226511e-26
gene-YPL030W	gene-YPL030W	462.922757141416	5.04478389186131	0.462999767582776	10.8958670070161	1.20612281270861e-27	8.5855351924148e-26
gene-YOR108W	gene-YOR108W	894.148687707387	5.25973249925921	0.483565613044078	10.8769779268398	1.48401673620349e-27	1.04363923966503e-25
gene-YLR022C	gene-YLR022C	658.626899591693	4.57344519847674	0.420837906163231	10.8674744634407	1.64696817922301e-27	1.14444681691961e-25
gene-YPL093W	gene-YPL093W	3489.87101950163	4.59277264525208	0.423192654483957	10.8526757177592	1.93671281267589e-27	1.32995208089284e-25
gene-YLL011W	gene-YLL011W	915.836214199835	4.53934584999964	0.420172226085757	10.8035361886893	3.31197267842913e-27	2.24790517720824e-25
gene-YLR186W	gene-YLR186W	1341.33248375439	5.31451764752808	0.492057595166074	10.8006007827892	3.41958677481411e-27	2.29426758673448e-25
gene-YAL012W	gene-YAL012W	1373.23113530862	4.74636542884917	0.442474993260777	10.7268557571385	7.61430675100459e-27	5.05053505745611e-25
gene-YLL034C	gene-YLL034C	583.438244027194	4.57027024391562	0.426528102618242	10.7150506985613	8.65098484936662e-27	5.67368523210707e-25
gene-YOR233W	gene-YOR233W	298.138509149336	5.19399506563953	0.485897360102964	10.6894901930294	1.13995849600446e-26	7.39326415686445e-25
gene-YNL124W	gene-YNL124W	792.366791667458	5.08494279434683	0.476535964520532	10.6706380481966	1.39664016069745e-26	8.95844903075939e-25
gene-YGR264C	gene-YGR264C	1301.51611228502	4.40696925624994	0.413240068747066	10.6644287172146	1.49313805493248e-26	9.47331176808794e-25
gene-YKL023C-A	gene-YKL023C-A	403.540447203696	4.66179418255266	0.437499988615908	10.6555298373856	1.64306362871213e-26	1.03124326890244e-24
gene-YOR375C	gene-YOR375C	6561.48478896869	4.65741090506446	0.437190862703685	10.6530380718892	1.68765580275164e-26	1.04796243836823e-24
gene-YDR101C	gene-YDR101C	1446.69325554758	4.59371471148655	0.43151812840891	10.6454732931487	1.83051633808487e-26	1.12470777530541e-24
gene-YCR021C	gene-YCR021C	60765.9075929735	-4.4511010634514	0.418403594665742	-10.6382954644721	1.97713093878491e-26	1.20213680100912e-24
gene-YNL117W	gene-YNL117W	7957.9730625337	-4.79113339341219	0.450925909905541	-10.6251011267368	2.2776517604938e-26	1.37058281711364e-24
gene-YAL025C	gene-YAL025C	1353.66442556501	4.50026029495142	0.425059394670806	10.58736814519	3.41045889038766e-26	2.031311075836e-24
gene-YOR145C	gene-YOR145C	2258.08972932534	4.18818229924271	0.395624432040302	10.5862579761405	3.45113470496079e-26	2.03477507806627e-24
gene-YCL054W	gene-YCL054W	963.659163824067	4.40078514319912	0.416089048006396	10.5765464490944	3.82809287842268e-26	2.23445781313532e-24
gene-YNR001C	gene-YNR001C	5101.5199751481	-4.34724273550718	0.411996734307789	-10.5516436745819	4.99161172706013e-26	2.88475620305446e-24
gene-YKR024C	gene-YKR024C	641.885967146392	4.83536293864202	0.458643336117465	10.5427519771128	5.48693528026454e-26	3.13992561087295e-24
gene-YPR060C	gene-YPR060C	422.451724752227	5.11176380656066	0.485409389218704	10.5308300994926	6.22827948212141e-26	3.52955993564492e-24
gene-YCL036W	gene-YCL036W	482.308274191276	4.82174492984535	0.460056837980115	10.4807591840506	1.05890264800211e-25	5.94309111191184e-24
gene-YER056C	gene-YER056C	4201.65818695922	4.24828124792733	0.40571658022092	10.4710565331446	1.17326122197174e-25	6.52221500252292e-24
gene-YGR187C	gene-YGR187C	803.048166983404	4.54901805111294	0.435143061023994	10.454074667784	1.40362172599601e-25	7.72918869305539e-24
gene-YJR124C	gene-YJR124C	302.852841646633	5.29194270713751	0.507438095827193	10.4287453990046	1.83292377831408e-25	9.99885616263482e-24
gene-YDL167C	gene-YDL167C	521.07900775018	4.48986539986416	0.431107835733362	10.414715362866	2.12432084322679e-25	1.14811673721433e-23
gene-YML080W	gene-YML080W	288.613255902546	5.03087618266268	0.484285906875499	10.3882357740301	2.80493306603535e-25	1.50205452352737e-23
