# Program:featureCounts v2.0.3; Command:"featureCounts" "-g" "gene_id" "-a" "/content/GCF_000146045.2_R64_genomic.gtf" "-o" "output_featurecounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
gene-YAL068C	NC_001133.9	1807	2169	-	363	14	16	2	6
gene-YAL067W-A	NC_001133.9	2480	2707	+	228	0	0	0	0
gene-YAL067C	NC_001133.9	7235	9016	-	1782	116	69	5	11
gene-YAL065C	NC_001133.9	11565	11951	-	387	11	3	2	3
gene-YAL064W-B	NC_001133.9	12046	12426	+	381	1	3	0	0
gene-YAL064C-A	NC_001133.9	13363	13743	-	381	0	1	1	0
gene-YAL064W	NC_001133.9	21566	21850	+	285	0	0	0	0
gene-YAL063C-A	NC_001133.9	22395	22685	-	291	0	0	0	0
gene-YAL063C	NC_001133.9	24000	27968	-	3969	28	20	2	3
gene-YAL062W	NC_001133.9	31567	32940	+	1374	7596	1095	131	161
gene-YAL061W	NC_001133.9	33448	34701	+	1254	1907	1941	32	82
gene-YAL060W	NC_001133.9	35155	36303	+	1149	4076	4826	84	332
gene-YAL059W	NC_001133.9	36509	37147	+	639	135	254	528	1672
gene-YAL058W	NC_001133.9	37464	38972	+	1509	85	137	55	195
gene-YAL056W	NC_001133.9	39259	41901	+	2643	1401	1171	26	79
gene-YAL055W	NC_001133.9	42177	42719	+	543	225	212	12	37
gene-YAL054C	NC_001133.9	42881	45022	-	2142	23270	6371	158	125
gene-YAL053W	NC_001133.9	45899	48250	+	2352	1927	772	387	922
gene-YAL051W	NC_001133.9	48564	51707	+	3144	522	472	63	197
gene-YAL049C	NC_001133.9	51855	52595	-	741	2664	2406	67	295
gene-YAL048C	NC_001133.9	52801	54789	-	1989	254	225	28	84
gene-YAL047C	NC_001133.9	54989	56857	-	1869	101	122	24	86
gene-YAL046C	NC_001133.9	57029	57385	-	357	38	193	27	152
gene-YAL044W-A	NC_001133.9	57518	57850	+	333	519	462	25	124
gene-YAL044C	NC_001133.9	57950	58462	-	513	805	1524	141	436
gene-YAL043C	NC_001133.9	58695	61052	-	2358	635	684	125	543
gene-YAL042W	NC_001133.9	61316	62563	+	1248	422	853	140	594
gene-YAL041W	NC_001133.9	62840	65404	+	2565	166	364	124	398
gene-YAL040C	NC_001133.9	65778	67520	-	1743	856	609	276	738
gene-YAL039C	NC_001133.9	68716	69525	-	810	749	1034	139	354
gene-YAL038W	NC_001133.9	71786	73288	+	1503	37694	18064	3979	11019
gene-YAL037C-A	NC_001133.9	73426	73518	-	93	21	16	6	11
gene-YAL037W	NC_001133.9	74020	74823	+	804	42	51	18	54
gene-YAL036C	NC_001133.9	75043	76152	-	1110	183	248	452	1601
gene-YAL035W	NC_001133.9	76427	79435	+	3009	1456	2130	934	2933
gene-YAL034W-A	NC_001133.9	79718	80587	+	870	71	136	14	47
gene-YAL034C	NC_001133.9	80710	81951	-	1242	4051	2095	95	330
gene-YAL033W	NC_001133.9	82706	83227	+	522	64	117	33	203
gene-YAL032C	NC_001133.9	83335	84474	-	1140	86	180	78	248
gene-YAL031C	NC_001133.9	84749	87031	-	2283	485	460	49	162
gene-YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	755	791	39	174
gene-YAL029C	NC_001133.9	87855	92270	-	4416	280	525	173	545
gene-YAL028W	NC_001133.9	92900	94486	+	1587	214	161	6	36
gene-YAL027W	NC_001133.9	94687	95472	+	786	340	457	20	70
gene-YAL026C	NC_001133.9	95630	99697	-	4068	222	326	59	236
gene-YNCA0001W	NC_001133.9	99305	99868	+	564	5	6	0	2
gene-YAL025C	NC_001133.9	100225	101145	-	921	135	257	850	2899
gene-YAL024C	NC_001133.9	101565	105872	-	4308	42	95	32	102
gene-YAL023C	NC_001133.9	106272	108551	-	2280	476	1403	328	1160
gene-YAL022C	NC_001133.9	108877	110430	-	1554	33	56	36	108
gene-YAL021C	NC_001133.9	110846	113359	-	2514	798	830	110	352
gene-YAL020C	NC_001133.9	113614	114615	-	1002	253	308	15	109
gene-YAL019W	NC_001133.9	114919	118314	+	3396	206	289	147	460
gene-YAL018C	NC_001133.9	118564	119541	-	978	0	0	0	1
gene-YAL017W	NC_001133.9	120225	124295	+	4071	2358	1720	26	91
gene-YAL016W	NC_001133.9	124879	126786	+	1908	3905	4009	142	614
gene-YAL015C	NC_001133.9	126903	128102	-	1200	232	460	34	212
gene-YAL014C	NC_001133.9	128252	129019	-	768	274	464	43	200
gene-YAL013W	NC_001133.9	129270	130487	+	1218	455	698	157	535
gene-YAL012W	NC_001133.9	130799	131983	+	1185	106	234	855	3009
gene-YAL011W	NC_001133.9	132199	134076	+	1878	149	202	78	255
gene-YAL010C	NC_001133.9	134184	135665	-	1482	184	238	19	103
gene-YAL009W	NC_001133.9	135854	136633	+	780	112	91	32	141
gene-YAL008W	NC_001133.9	136914	137510	+	597	1410	980	40	104
gene-YAL007C	NC_001133.9	137698	138345	-	648	118	509	58	267
gene-YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	0	0	0	0
gene-YAL005C	NC_001133.9	139503	141431	-	1929	15059	41897	294	1585
gene-YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	4639	11910	2711	9855
gene-YNCA0003W	NC_001133.9	142367	142468	+	102	18	91	23	52
gene-YAL002W	NC_001133.9	143707	147531	+	3825	412	311	107	382
gene-YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	684	695	27	113
gene-YAR002W	NC_001133.9	152257	153876	+	1620	284	432	279	1033
gene-YAR002C-A	NC_001133.9	154065	154724	-	660	679	1607	103	417
gene-YAR003W	NC_001133.9	155005	156285	+	1281	88	165	41	176
gene-YAR007C	NC_001133.9	156754	158619	-	1866	241	851	7	51
gene-YAR008W	NC_001133.9	158966	159793	+	828	62	156	14	41
gene-YAR009C	NC_001133.9	160597	164187	-	3591	0	0	0	0
gene-YAR010C	NC_001133.9	164544	165866	-	1323	0	0	0	0
gene-YNCA0004W	NC_001133.9	166267	166339	+	73	0	2	0	1
gene-YAR014C	NC_001133.9	166742	168871	-	2130	474	468	279	734
gene-YAR015W	NC_001133.9	169375	170295	+	921	884	1650	664	1199
gene-YAR018C	NC_001133.9	170396	171703	-	1308	196	317	19	102
